case,time,x,y
0.136,0.002,0.0049314727075398,0.144714772701263
0.136,0.002,0.0043631298467516,0.145011276006699
0.136,0.002,0.003776959143579,0.145270749926567
0.136,0.002,0.0031753703951835,0.145492136478424
0.136,0.002,0.0025608339346945,0.145674526691437
0.136,0.002,0.0019358751596882,0.145817175507545
0.136,0.002,0.0013030613772571,0.145919486880302
0.136,0.002,0.0006649925489909,0.145981058478355
0.136,0.002,2.42903661273886e-05,0.146001607179642
0.136,0.003,5.30041288584471e-05,0.126006588339806
0.136,0.003,0.0006937119178473,0.126027047634125
0.136,0.003,0.0013317898847162,0.126088500022888
0.136,0.003,0.0019646214786917,0.126190721988678
0.136,0.003,0.0025896006263792,0.126333266496658
0.136,0.003,0.0032041650265455,0.126515567302704
0.136,0.003,0.0038057840429246,0.126736864447594
0.136,0.003,0.0043919892050325,0.126996263861656
0.136,0.003,0.0049603693187236,0.127292677760124
0.136,0.003,0.0055085886269807,0.127624914050102
0.136,0.003,0.0060343923978507,0.127991586923599
0.136,0.003,0.006535620894283,0.128391206264496
0.136,0.003,0.0070102112367749,0.128822103142738
0.136,0.003,0.0074562132358551,0.129282549023628
0.136,0.003,0.0078717926517128,0.129770621657372
0.136,0.003,0.0082552386447787,0.130284309387207
0.136,0.003,0.0086049754172563,0.130821540951729
0.136,0.003,0.0089195640757679,0.131380066275597
0.136,0.003,0.0091977110132575,0.131957605481148
0.136,0.003,0.0094382697716355,0.132551774382591
0.136,0.003,0.0096402540802955,0.133160158991814
0.136,0.003,0.0098028304055333,0.133780226111412
0.136,0.003,0.0099253319203853,0.134409442543983
0.136,0.003,0.0100072557106614,0.13504521548748
0.136,0.003,0.0100482637062669,0.135684937238693
0.136,0.003,0.0100481892004609,0.13632595539093
0.136,0.003,0.0100070331245661,0.136965662240982
0.136,0.003,0.0099249659106135,0.137601420283318
0.136,0.003,0.009802327491343,0.138230606913567
0.136,0.003,0.0096396226435899,0.138850644230843
0.136,0.003,0.0094375219196081,0.139458984136581
0.136,0.003,0.0091968579217791,0.140053123235703
0.136,0.003,0.0089186215773224,0.140630632638931
0.136,0.003,0.0086039574816823,0.141189113259315
0.136,0.003,0.0082541592419147,0.141726300120354
0.136,0.003,0.0078706666827201,0.142239958047867
0.136,0.003,0.0074550560675561,0.142728015780449
0.136,0.003,0.0070090349763631,0.143188431859016
0.136,0.003,0.006534437648952,0.14361934363842
0.136,0.003,0.0060332119464874,0.144018962979317
0.136,0.003,0.005507418885827,0.144385650753975
0.136,0.003,0.0049592154100537,0.144717916846275
0.136,0.003,0.0043908567167818,0.145014375448227
0.136,0.003,0.0038046729750931,0.145273834466934
0.136,0.003,0.0032030756119638,0.145495191216469
0.136,0.003,0.0025885321665555,0.14567756652832
0.136,0.003,0.0019635683856904,0.145820200443268
0.136,0.003,0.0013307519257068,0.145922496914864
0.136,0.003,0.0006926810601726,0.145984038710594
0.136,0.003,5.19777568115387e-05,0.14600458741188
0.136,0.004,9.99386393232271e-05,0.126013651490211
0.136,0.004,0.0007406524382531,0.126034006476402
0.136,0.004,0.0013787396019324,0.126095354557037
0.136,0.004,0.0020115894731134,0.126197472214699
0.136,0.004,0.0026365893427282,0.126339927315712
0.136,0.004,0.0032511823810637,0.12652213871479
0.136,0.004,0.0038528337609022,0.126743346452713
0.136,0.004,0.0044390768744051,0.127002656459808
0.136,0.004,0.0050074979662895,0.127298980951309
0.136,0.004,0.0055557610467076,0.127631142735481
